Pathway	DLF001	DLF002	DLF003	DLF004	DLF005	DLF006	DLF007	DLF008	DLF009
ko00281	0.000558878802012817	0.000632859181286944	0.0005425111249312946	0.0006783021407450678	0.0005093068227240299	0.0005695034452834485	0.0005682372696060383	0.0005761157006422356	0.0005584751085173351
ko00310	0.00047778496844315307	0.0006340200472421814	0.00025347858514500056	0.00035209002620549513	0.00027564600443742417	0.0007483747430650743	0.0006998165047320223	0.0007510732340601666	0.0017175629084450292
ko00380	0.00014974488277732942	0.00017508689462221463	6.092155870154226e-05	0.0001312361303558927	5.625529051395721e-05	0.000200177200740453	0.00014410426997176057	0.00021311640387446099	0.00036113519109388036
ko00020	3.2919395912521396e-05	2.66893749745953e-05	5.78580748107575e-05	2.3549686072606198e-05	3.8853402198817e-05	8.299049679943921e-05	5.828369056279701e-06	5.62189034211591e-06	3.91741167307442e-05
ko00710	2.9494016263596256e-05	0.00013952930137767352	9.403395283945726e-05	0.0001518505503675243	9.154919544053936e-05	0.00023858026269094764	9.627619088605586e-05	0.00021123083214608687	0.0011586297899044537
ko00720	0.0022468027576917795	0.0024172795264109383	0.0026939744839667695	0.002836444105407985	0.0024727387541577475	0.0029100705376562982	0.002261528475654478	0.0023367977637193302	0.0017156490749062727
ko04964	0.0	0.0	0.0	0.0	5.43798452591775e-07	0.0	0.0	0.0	0.0
ko02020	0.02687766280703395	0.02893107292245669	0.024407545865639205	0.024784755489628107	0.025940876518894287	0.026783817925388993	0.02783135343772838	0.03025053487220333	0.032240812788410005
ko00480	0.0020638825927571723	0.0018220378824845992	0.0013402552985181762	0.0016265744172757994	0.0012546665836221727	0.0019572176145244485	0.0022815991802344784	0.002055785289491741	0.002937765396163871
ko04146	0.0007583406955338318	0.0007391387191504733	0.000780603168478803	0.0008434632691951768	0.0007631574467356811	0.0009040200880184463	0.0006587750548485016	0.000786535303009216	0.0011546275754580717
ko00030	0.005459060210667835	0.005221417262327316	0.004515321468514627	0.004627784780357086	0.004800977103038365	0.0061187270632078765	0.005511995219782144	0.006526480662599314	0.007144330808238024
ko00120	0.0007335985418478767	0.0006722174329428744	0.00042980350145524905	0.000484833224457022	0.0006269411693318663	0.0006612640076700301	0.0007097481757362242	0.0007010872925388804	0.00033009066302784704
ko00290	0.0029412838092992962	0.0032154592954896154	0.0034045745940043228	0.003800654932384974	0.0033500007039616625	0.003129489049604669	0.0030293569348542925	0.0024097224447995457	0.0032249250243182592
ko00770	0.0042094704837329815	0.005136191467508735	0.005909158034145058	0.005126152186437256	0.00528636132576196	0.005709401194537065	0.004260699603917729	0.0041047492655806135	0.005380240371000195
ko00360	0.002205415243391447	0.0019296808888607814	0.0013328197275363264	0.0013101047341697008	0.0015761499170079192	0.0021897648932516843	0.002101113119356847	0.0025021003765940547	0.00238521978881592
ko00622	0.0	2.313271579995172e-05	9.62410897716835e-07	1.13572406536153e-07	5.568947553155814e-06	1.2073675697255773e-05	5.618275067526538e-07	5.455120802097794e-06	3.0516859828711888e-06
ko00623	0.0	0.0	0.0	0.0	1.7617478775041095e-06	0.0	0.0	0.0	1.7424913665065525e-05
ko00061	0.003918395566131486	0.003844706332205767	0.003976317740625168	0.004108900369087291	0.00406812321226243	0.0038910373932899245	0.0039009745750867297	0.0032701281463991335	0.002671433715956195
ko00780	0.005645730936061086	0.00496262678756439	0.0036129611767516	0.004895185039565697	0.004276097064742213	0.004981705089355945	0.005385436803879188	0.005597582627244463	0.004093432658656823
ko01040	0.00020883411327695715	0.0001344890732595195	0.0002615683299839357	0.00016374165668353997	0.0002462976326647132	0.00031913454459170913	0.00014483231261053873	0.0003712052315046006	0.0006802111854302083
ko00523	0.001988553809481521	0.0016570839781513574	0.0	0.0018591989187375453	0.001405111493457184	0.001434071727602303	0.00254324350118799	0.001665747926735814	0.0012159724459432785
ko00790	0.006303803542522624	0.005058974163835966	0.006048304610541347	0.006479661863718171	0.00501263403550035	0.006022396372153718	0.0068617100232690785	0.005282274951699112	0.0053671770456061915
ko00230	0.013736845087406493	0.015100043040345417	0.01827156237215634	0.01656157167362042	0.017787812252249374	0.015326520233104967	0.015463441471699417	0.014791313268240777	0.015610546355130157
ko00362	0.005465825362571052	0.005280356414940659	0.004695413880920366	0.0045445033605856	0.004646713691144192	0.006003855932652951	0.005139869628504732	0.005208210049646754	0.004104479870905617
ko00550	0.00600417982408247	0.007292677314994061	0.010683783224109395	0.00837893090716075	0.010402393014678385	0.00718263872414066	0.006333823902393818	0.0060557810154323	0.007480030250796739
ko05204	2.29025293209358e-06	0.0	7.827121493418099e-05	4.6255854929010107e-07	2.83676229344035e-06	0.0	0.0	1.6622938441164351e-06	6.186563583664349e-06
ko00740	0.0025974125158202445	0.0026662527683230667	0.002842852626714055	0.0029250534251842406	0.0026294175143598856	0.0029257775056755636	0.002939237210681479	0.0025487042444701613	0.002435877894976316
ko00940	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00983	0.002276255354853308	0.002104885391270065	0.002939960479835596	0.002714386873395619	0.0016162782713295943	0.001856387467477418	0.0007572650953032506	0.0003508413419322089	0.0014753220643745622
ko00750	0.002370863645341768	0.0026177577968844413	0.0024646344706404717	0.002526103284540042	0.0023834084806007095	0.0024578870482334005	0.0022604033395261895	0.0023024957441204227	0.002290256845328092
ko00363	4.4359399274965145e-06	8.8965892777307e-06	4.794258577941585e-07	5.948992955720945e-07	1.751681603287245e-07	1.76714270966594e-05	3.4136117123658796e-06	2.766397169737345e-05	5.9221836004135e-05
ko00591	2.6787582242169157e-07	0.0	0.0	0.0	0.0	2.4987664962351993e-05	0.0	2.976176441852703e-07	0.0
ko00232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00440	0.0016602268510540709	0.0015126701851288244	0.0008193648480313618	0.0013794573487418043	0.0011047450675322585	0.0015178039624527905	0.0015991677359002876	0.0014585411026031806	0.002948339312851618
ko00330	0.008504064962595414	0.008170139203603809	0.007951880947635614	0.00890538140038936	0.007720364047334709	0.00798452194385443	0.008151700921350827	0.007635060495303907	0.008375444734762072
ko00410	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00903	0.0	0.0	0.0	8.458335730239705e-06	6.909058542698832e-05	0.0	0.0	0.0	3.942516556236096e-05
ko00621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.339849948610966e-07	0.0
ko00250	0.0046582691165359125	0.006024277927166001	0.005842228007448576	0.00618454955924156	0.004152647139634916	0.007377578152807957	0.004093962998439466	0.006983295322283575	0.005875126960255756
ko00627	0.0004265764199161689	0.00030963462658069844	0.00025078589413085877	0.0002941007759085914	0.00042188772397325593	0.0004254017985670173	0.00034732279074599506	0.0009912366960932212	0.0006478680468477397
ko00643	1.8995813737539964e-07	3.1116272325827593e-07	3.629220470317534e-06	2.4696820861786184e-07	0.0	3.0028362010207704e-07	0.0	0.0	7.61508258693981e-06
ko00760	0.0035148452404056537	0.0038491079164024037	0.004848946361071065	0.004189613808600589	0.0044639905290139465	0.0043074597813229495	0.0035716498168126064	0.0038012396862548265	0.003838898972609859
ko00633	0.00020082497791328347	0.00030058465799409514	0.00034437357960692575	0.0002793343295404093	0.0001941813346679864	0.00033331464197806774	0.0003712320910134285	0.0005848461570782407	0.001040580598842454
ko00351	6.88230262941445e-08	0.0	0.0	7.87435351983995e-08	0.0	5.577714446616901e-06	0.0	0.0	0.0
ko00240	0.01445211910093178	0.016821858203247383	0.02105960591872184	0.01842946054189857	0.01968104226773039	0.0174248992948545	0.014484545579755394	0.013166215538014114	0.01510443081708098
ko00401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00860	0.009551173234728809	0.008745599813106894	0.006179622127858312	0.006756049975311137	0.008065037816677783	0.00916368889156136	0.009049606638971667	0.009958477819107385	0.007018048986510491
ko01053	0.00015599418306644754	0.00025812020992018673	8.511843429802431e-05	7.184715581002422e-05	0.0001571817426634808	0.00034413382914423894	0.0002307702842824658	0.0002937997442546063	0.000465881707946265
ko00361	0.0002348790909286425	0.00029754629345330494	0.0002134690724740304	0.00013005425656498868	0.00020690487033436062	0.0003391822641826931	0.00014083761076718178	0.00031185873772546707	0.0002784338711512637
ko00364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00624	0.0002637187873504844	8.394698131637855e-06	1.080545186009543e-05	3.1471831627765452e-06	7.086538435233257e-06	4.101977443637558e-05	6.703428977662463e-06	6.339849948610966e-07	6.775561544087365e-06
ko00592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00190	0.0044310941727248344	0.006441136439253269	0.006806181779506728	0.006097069371370387	0.00733114336984507	0.006102084653217409	0.00506362689452341	0.004775791821972916	0.00574627023907553
ko05134	0.0007662434160176828	0.0007298485708589303	0.0008965032760472762	0.0007801425231743585	0.0009850743757802243	0.0007208210377379958	0.000747196942657499	0.000690959774248937	0.0005998963892021764
ko00430	1.140106508074793e-05	2.1366905383141155e-05	2.494446169157276e-06	3.403824944813632e-06	1.5418636656949709e-06	4.0621072472526715e-05	1.1712613935488743e-05	1.3710905506167395e-05	0.00014744347333169586
ko00910	0.007776321061356709	0.007627860827295827	0.006942779741233473	0.009031268436651757	0.00720801545905189	0.007675018441471669	0.00741102016474788	0.008556529294306867	0.009981151291317937
ko00471	0.000429134728499446	0.0004989535378577889	0.0006428191321955599	0.000600647250397425	0.000545111974834784	0.000476017805721921	0.000437147986943658	0.000506850508731599	0.000356766151932071
ko00311	0.0009228311875906647	0.0004336100359828524	0.0004176089448349752	0.0005038107420284271	0.00019028011665288218	0.00048474822913588996	0.0005855384833940817	0.0008940309145814238	0.0001966410921042608
ko00472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00960	0.0004901049334833443	0.0005382945334226388	0.00047846932768340355	0.00036752251632225753	0.0005898475025252354	0.0004804199651563128	0.0005305899639451015	0.00048322746205290074	0.0005812018755752999
ko00908	0.000786178255639513	0.000646566806592712	0.000828213582931129	0.000758570029638399	0.000810950646796931	0.000676366104278396	0.000676410705973043	0.000640006430194213	0.0005084913688147849
ko00670	0.0045922587740695455	0.004081210880571949	0.004456570989561035	0.004693234155753075	0.003787354725862154	0.004568830243719161	0.004596169766774711	0.00405701935332683	0.0032770274719434826
ko00130	0.0023202731857162925	0.0020214065067019555	0.002138058199067797	0.002980392878819691	0.001997957638498877	0.0025195124441792366	0.0027197698795582083	0.0024647940148838096	0.0031373996480006483
ko00920	0.0008296105770015437	0.0014128444617392368	0.0010023498270790403	0.0006817407175332899	0.0009503256261672467	0.0013905567302051303	0.0010774712466392875	0.001006598113185377	0.0024844321142010943
ko00450	0.0005658218240365685	0.001324629430543127	0.0006688421604216371	0.000713499423871353	0.001019856332911159	0.0011104036504322886	0.0005860357115244156	0.000993608186011451	0.0026082590273496823
ko00941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00906	1.8468162644248743e-05	2.56226499178147e-05	3.217641118376506e-05	2.929830422479456e-05	3.154763278956612e-05	2.374466228685127e-05	1.6872175170019556e-06	1.7674673498432463e-05	6.402059623841635e-05
ko00642	0.0	0.0	9.62410897716835e-07	1.13572406536153e-07	0.0	0.0	0.0	0.0	0.0
ko04122	0.00226959394191243	0.0034935127426751573	0.0028661701418347825	0.0032182572183534616	0.0036229965818405886	0.00290797038050564	0.002567661741600436	0.0027653250509599193	0.0030542652919240067
ko02030	0.0005624392944073487	0.0024876967872086244	0.0018960990963370118	0.0023689742164931284	0.002148509085717581	0.0015419076944779063	0.0025579798859547	0.0021257021198152143	0.0016574509741313942
ko00460	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00970	0.008490764003606823	0.010626326480098492	0.015530499576001267	0.012161219292643051	0.014528767006878858	0.010920109389541837	0.008768665621367192	0.008689004796486212	0.010260178529820646
ko00540	0.0059836011713332625	0.00415050906789353	0.0035280953356598616	0.0055661717286344765	0.0032641675228191973	0.005252847541866108	0.005710815476154706	0.006282926181445488	0.006078107966365665
ko00604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00730	0.004543724550473532	0.005647118515246088	0.005784587435553284	0.005631591963471556	0.005343936995369658	0.0053284205528125374	0.004477970593464997	0.004286830905670194	0.003786135824047842
ko00473	0.000436779184403046	0.000569403195855411	0.000749663311343067	0.000558535737984018	0.0007426047080139071	0.000623025699630488	0.000466306470226687	0.000573894937944337	0.0006314977767324799
ko04973	0.0	0.0	0.0	0.0	5.43798452591775e-07	0.0	0.0	0.0	0.0
ko04070	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko03018	0.006917422268228894	0.006794496041601703	0.006302897358044962	0.007427195333216637	0.00635550744689121	0.006068128030523292	0.006819846934309004	0.006472111688842145	0.005095218230435522
ko03450	3.1780888922007795e-06	2.668447688532765e-06	1.0096756987747452e-05	6.875388778011658e-07	5.8768947457943336e-05	1.359634608600621e-06	3.1476422410530107e-06	2.0915147710590276e-05	3.3565954982126724e-05
ko00531	0.0034455448266071157	0.0017088526461153846	0.0006016067108008878	0.0013287892019254728	0.0011152266797498304	0.0011405980353983438	0.003206002242572669	0.0030714008181759182	0.0011366962830666775
ko03430	0.00505606503616456	0.00609538091088401	0.006367619921397189	0.006021557558327979	0.007232068533016243	0.00606783626147644	0.006159798697753406	0.005289481331197211	0.005781073073913406
ko03410	0.0030209280669619603	0.00360289134843611	0.0034860052193584606	0.003147495120900785	0.003910226836183159	0.003969292431504343	0.0029726263725118737	0.0033845212199738175	0.003794114209204377
ko03440	0.007533090496107852	0.007512751399664719	0.010395931706675613	0.008904477459171192	0.00905011726402922	0.008247667463701357	0.006921566534459781	0.006420340677382343	0.00796520923361983
ko00511	0.011694750077068734	0.008292141605070615	0.004438494835012376	0.008097582389295043	0.005950434738923829	0.0057517326340284156	0.010290370821856236	0.010622340062198695	0.004099934258177168
ko00944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko04614	9.288454705507922e-07	1.2587257948447314e-05	1.490510305170919e-06	1.06200540624783e-05	1.8753575938028e-05	2.37499901801967e-06	4.0440411410376e-05	1.3141236132579302e-05	4.7506008353052396e-05
ko05150	3.643379023858455e-05	6.18152152448764e-05	6.483178545604454e-05	6.325249117196238e-05	0.00010219699440080823	0.00018714931594631797	2.3454401910416985e-05	0.00019466239402003412	0.00018776128387520188
ko04112	0.0046323770196200825	0.006331473798694711	0.00909461177220307	0.008036418568154943	0.008162211640059256	0.006781107109749142	0.004941194551892752	0.005077820430713675	0.006163517262430416
ko00791	0.00041080103772712446	0.00039776631585028145	0.0006541518472947304	0.0005798824939912286	0.0004786380612752071	0.0005174685523295744	0.0004982149751068477	0.0005013698713345622	0.0005243806478878158
ko00121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00312	0.00028152393518357787	0.0005276281283392032	0.0004627296885437917	0.0002871367775705541	0.0007586391051073564	0.0004343291902569986	0.0002480249500075448	0.0002675566129320789	0.00043968114684388474
ko00660	0.000330028317886666	0.0002481084229260374	0.0003345692610363393	0.0005773913650781759	0.00032400418524064777	0.00023730236844784962	0.0003072640525837272	0.0014228655277541483	0.0002787279039078622
ko00901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00984	0.00016743227693595802	0.00027251964898366454	5.331966665576207e-05	0.00015618571819398333	0.00013801629665314652	9.774059551887602e-05	0.00038914897798478703	9.984448905914794e-05	7.770749810288979e-05
ko00253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko03420	0.0027529114774532083	0.003161273356287269	0.0038090509192897303	0.00296247440678605	0.003432085971926621	0.002924383227894153	0.0023009939578383484	0.002275645009185211	0.002833285002060086
ko03030	0.0041552988739159006	0.003657610968714658	0.0051670829458694495	0.004639578524858662	0.004759764156673437	0.0036993226973123204	0.0030032540743023446	0.003087181465402759	0.0032468803515448134
ko03010	0.020667874294488853	0.023982515287861165	0.04120169428375529	0.029125850838875304	0.03585369867579497	0.03226591399464715	0.024376548973656646	0.0210590690514929	0.023492773382980763
ko03060	0.0049736108253521935	0.004562059532555604	0.006659487133335728	0.005377064234263481	0.00669277493685213	0.005436768650374326	0.0053874469509501465	0.004214035348574831	0.0036940189394554287
ko02010	0.01808523044645532	0.024356036052556124	0.024891782274094658	0.021188346647405615	0.025008131933421236	0.0291715744824292	0.020474075931524796	0.025842942516810054	0.034082847669916067
ko00196	0.0	0.0	4.1694978127114704e-07	0.0	0.0	1.8427760164586001e-07	0.0	0.0	0.0
ko00195	7.0266713857171394e-06	0.0	2.120750143844619e-05	9.93407613802313e-06	3.4270734877158778e-06	1.0106875211142435e-05	2.5906379181420013e-05	1.3351137370498893e-06	1.22616230369419e-06
ko02040	0.00047561483015765433	0.0032266891948981875	0.0020915466696458896	0.002762037194450482	0.0022653953816944507	0.0019693269083744416	0.0023502762732162752	0.0019530016772528283	0.003973054182841011
ko05111	7.779129705296528e-05	0.00025178626304671645	6.626456473012203e-05	6.598454034302874e-05	5.686190636201471e-05	0.00029916167283270084	0.00020056118177179798	0.0003851946068974786	0.0018169415831196505
ko03070	0.0034183106037198887	0.005519317710731738	0.0033777120137988216	0.003717462378582765	0.00404756578635071	0.005402223989700187	0.003531342763139701	0.0037766928626198583	0.008831045809978063
ko05131	2.0084316824416659e-07	0.0	0.0	2.048505904415682e-06	7.956193861468509e-07	1.1038724627050622e-06	5.84499400353693e-06	7.6085729039155e-05	3.1526788365752504e-07
ko02060	0.0015022344027971239	0.0021231484372294584	0.0012939147734378716	0.0011931067433573247	0.0027391186824737776	0.0017976916432218579	0.000972087309659815	0.0034363122170277577	0.0054516115575660405
ko03020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00785	0.0008532555458242829	0.000710181160474127	0.0002376510861430389	0.0004582012344132669	0.0004185526533948845	0.00065990088061161	0.0008443055601940681	0.0006925914518323951	0.000895699171410916
ko01056	9.25551043266079e-06	7.4935201294461805e-06	2.70500477932108e-07	2.59618848610451e-05	1.29011494959703e-06	5.0174342848127795e-05	0.0	4.11639431389725e-05	3.98976942421766e-06
ko00365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unknown	0.5548296934047356	0.5340681425523595	0.5101486856194493	0.5214359498392752	0.5189495194577759	0.5257042884926963	0.5492073286352375	0.5379276062441576	0.5347676083810466
